file,rows,missing_cols,high_missing,reasons
FLCC.parquet,198,,,low_rows(198)
FLCE.parquet,196,,,low_rows(196)
FLOC.parquet,180,,,low_rows(180)
FLXN.parquet,63,,,low_rows(63)
FLY.parquet,41,,,low_rows(41)
FMCE.parquet,220,,,low_rows(220)
FMFC.parquet,71,,,low_rows(71)
FMKT.parquet,81,,,low_rows(81)
FMTM.parquet,137,,,low_rows(137)
FMUB.parquet,125,,,low_rows(125)
FMUN.parquet,124,,,low_rows(124)
FNGU.parquet,157,,,low_rows(157)
FOFO.parquet,16,,,low_rows(16)
FOPC.parquet,196,,,low_rows(196)
FOWF.parquet,198,,,low_rows(198)
FOXY.parquet,167,,,low_rows(167)
FPAS.parquet,230,,,low_rows(230)
FRDD.parquet,52,,,low_rows(52)
FRDU.parquet,52,,,low_rows(52)
FRIZ.parquet,24,,,low_rows(24)
FRMI.parquet,3,,,low_rows(3)
FSHPR.parquet,1,,,low_rows(1)
FTBI.parquet,89,,,low_rows(89)
FTKI.parquet,151,,,low_rows(151)
FTRK.parquet,92,,,low_rows(92)
FVN.parquet,229,,,low_rows(229)
FVNNR.parquet,82,,,low_rows(82)
GAINI.parquet,198,,,low_rows(198)
GBND.parquet,70,,,low_rows(70)
GBUG.parquet,157,,,low_rows(157)
GBXA.parquet,180,,,low_rows(180)
GBXB.parquet,157,,,low_rows(157)
GBXC.parquet,149,,,low_rows(149)
GDFN.parquet,7,,,low_rows(7)
GECCG.parquet,16,,,low_rows(16)
GELS.parquet,233,,,low_rows(233)
GEME.parquet,176,,,low_rows(176)
GEMI.parquet,16,,,low_rows(16)
GEND.parquet,124,,,low_rows(124)
GENVR.parquet,116,,,low_rows(116)
GENW.parquet,182,,,low_rows(182)
GEOA.parquet,63,,,low_rows(63)
GEVX.parquet,60,,,low_rows(60)
GGOV.parquet,70,,,low_rows(70)
GIGL.parquet,70,,,low_rows(70)
GIND.parquet,127,,,low_rows(127)
GKAT.parquet,29,,,low_rows(29)
GLBL.parquet,113,,,low_rows(113)
GLCR.parquet,132,,,low_rows(132)
GLDY.parquet,128,,,low_rows(128)
GLGG.parquet,31,,,low_rows(31)
GLIBA.parquet,60,,,low_rows(60)
GLIBK.parquet,60,,,low_rows(60)
GLXU.parquet,40,,,low_rows(40)
GLXY.parquet,97,,,low_rows(97)
GMEU.parquet,113,,,low_rows(113)
GMEY.parquet,19,,,low_rows(19)
GMMF.parquet,160,,,low_rows(160)
GMOI.parquet,233,,,low_rows(233)
GMOV.parquet,233,,,low_rows(233)
GOOW.parquet,51,,,low_rows(51)
GPTY.parquet,176,,,low_rows(176)
GPZ.parquet,84,,,low_rows(84)
GQGU.parquet,59,,,low_rows(59)
GRAN.parquet,67,,,low_rows(67)
GRIN.parquet,70,,,low_rows(70)
GRNY.parquet,226,,,low_rows(226)
GRO.parquet,212,,,low_rows(212)
GROZ.parquet,207,,,low_rows(207)
GSHR.parquet,101,,,low_rows(101)
GSHRU.parquet,136,,,low_rows(136)
GSKH.parquet,186,,,low_rows(186)
GSRFU.parquet,22,,,low_rows(22)
GSRT.parquet,197,,,low_rows(197)
GSRTR.parquet,197,,,low_rows(197)
GSRTU.parquet,226,,,low_rows(226)
GSX.parquet,14,,,low_rows(14)
GTEN.parquet,73,,,low_rows(73)
GTENU.parquet,107,,,low_rows(107)
GTERA.parquet,50,,,low_rows(50)
GTERR.parquet,1,,,low_rows(1)
GTERU.parquet,62,,,low_rows(62)
GTOC.parquet,52,,,low_rows(52)
GXIG.parquet,76,,,low_rows(76)
GXLC.parquet,8,,,low_rows(8)
GXPC.parquet,52,,,low_rows(52)
GXPD.parquet,52,,,low_rows(52)
GXPE.parquet,52,,,low_rows(52)
GXPS.parquet,52,,,low_rows(52)
GXPT.parquet,52,,,low_rows(52)
HBDC.parquet,80,,,low_rows(80)
HBNB.parquet,86,,,low_rows(86)
HBTA.parquet,176,,,low_rows(176)
HBTC.parquet,138,,,low_rows(138)
HCAI.parquet,167,,,low_rows(167)
HCHL.parquet,72,,,low_rows(72)
HCMA.parquet,10,,,low_rows(10)
HCMAU.parquet,45,,,low_rows(45)
HECA.parquet,67,,,low_rows(67)
HEQQ.parquet,132,,,low_rows(132)
HFEQ.parquet,58,,,low_rows(58)
HFGM.parquet,119,,,low_rows(119)
HFMF.parquet,58,,,low_rows(58)
HFSP.parquet,236,,,low_rows(236)
HGRO.parquet,80,,,low_rows(80)
HIMU.parquet,164,,,low_rows(164)
HIMY.parquet,33,,,low_rows(33)
HIMZ.parquet,142,,,low_rows(142)
HIT.parquet,195,,,low_rows(195)
HIYY.parquet,9,,,low_rows(9)
HKPD.parquet,181,,,low_rows(181)
HMR.parquet,157,,,low_rows(157)
HNGE.parquet,93,,,low_rows(93)
HOLA.parquet,59,,,low_rows(59)
HOLD.parquet,36,,,low_rows(36)
HOND.parquet,246,,,low_rows(246)
HOOG.parquet,136,,,low_rows(136)
HOOI.parquet,33,,,low_rows(33)
HOOW.parquet,75,,,low_rows(75)
HOOX.parquet,138,,,low_rows(138)
HOOY.parquet,103,,,low_rows(103)
HOYY.parquet,4,,,low_rows(4)
HSBH.parquet,127,,,low_rows(127)
HSPOR.parquet,1,,,low_rows(1)
HSPT.parquet,167,,,low_rows(167)
HSPTR.parquet,1,,,low_rows(1)
HSPTU.parquet,220,,,low_rows(220)
HTAX.parquet,147,,,low_rows(147)
HTFL.parquet,39,,,low_rows(39)
HUBCZ.parquet,1,,,low_rows(1)
HUHU.parquet,238,,,low_rows(238)
HUMN.parquet,70,,,low_rows(70)
HVAC.parquet,168,,,low_rows(168)
HVII.parquet,166,,,low_rows(166)
HVIIR.parquet,1,,,low_rows(1)
HVIIU.parquet,179,,,low_rows(179)
HVMC.parquet,1,,,low_rows(1)
HVMCU.parquet,38,,,low_rows(38)
HWSM.parquet,130,,,low_rows(130)
HXHX.parquet,119,,,low_rows(119)
HYBX.parquet,218,,,low_rows(218)
HYP.parquet,9,,,low_rows(9)
HYTI.parquet,155,,,low_rows(155)
IAUI.parquet,84,,,low_rows(84)
IBACR.parquet,1,,,low_rows(1)
IBGB.parquet,133,,,low_rows(133)
IBGL.parquet,124,,,low_rows(124)
IBHL.parquet,127,,,low_rows(127)
IBIL.parquet,131,,,low_rows(131)
IBMT.parquet,132,,,low_rows(132)
IBTQ.parquet,132,,,low_rows(132)
ICOI.parquet,127,,,low_rows(127)
ICPY.parquet,18,,,low_rows(18)
ICRC.parquet,1,,,low_rows(1)
IDEF.parquet,94,,,low_rows(94)
IDEQ.parquet,101,,,low_rows(101)
IDVZ.parquet,192,,,low_rows(192)
IDYN.parquet,41,,,low_rows(41)
IETH.parquet,1,,,low_rows(1)
IFLO.parquet,70,,,low_rows(70)
IGCB.parquet,218,,,low_rows(218)
IGGY.parquet,12,,,low_rows(12)
IGME.parquet,81,,,low_rows(81)
ILS.parquet,129,,,low_rows(129)
IMF.parquet,138,,,low_rows(138)
IMRA.parquet,127,,,low_rows(127)
IMST.parquet,127,,,low_rows(127)
INAC.parquet,47,,,low_rows(47)
INACR.parquet,1,,,low_rows(1)
INACU.parquet,67,,,low_rows(67)
INEO.parquet,237,,,low_rows(237)
INFO.parquet,246,,,low_rows(246)
INGM.parquet,236,,,low_rows(236)
INLF.parquet,189,,,low_rows(189)
INR.parquet,170,,,low_rows(170)
INTM.parquet,52,,,low_rows(52)
INVG.parquet,85,,,low_rows(85)
INVN.parquet,186,,,low_rows(186)
IONL.parquet,133,,,low_rows(133)
IONX.parquet,143,,,low_rows(143)
IONZ.parquet,72,,,low_rows(72)
IOTR.parquet,122,,,low_rows(122)
IPCX.parquet,77,,,low_rows(77)
IPCXR.parquet,1,,,low_rows(1)
IPCXU.parquet,112,,,low_rows(112)
IPOD.parquet,79,,,low_rows(79)
IPODU.parquet,104,,,low_rows(104)
IPST.parquet,215,,,low_rows(215)
IQSZ.parquet,57,,,low_rows(57)
ISMF.parquet,142,,,low_rows(142)
ITDJ.parquet,221,,,low_rows(221)
ITOL.parquet,17,,,low_rows(17)
IVES.parquet,85,,,low_rows(85)
IYRI.parquet,181,,,low_rows(181)
JABS.parquet,52,,,low_rows(52)
JACS.parquet,171,,,low_rows(171)
JANM.parquet,178,,,low_rows(178)
JANU.parquet,189,,,low_rows(189)
JAPN.parquet,100,,,low_rows(100)
JBS.parquet,78,,,low_rows(78)
JCAP.parquet,70,,,low_rows(70)
JDVL.parquet,40,,,low_rows(40)
JEDI.parquet,6,,,low_rows(6)
JEM.parquet,82,,,low_rows(82)
JENA.parquet,53,,,low_rows(53)
JFB.parquet,147,,,low_rows(147)
JFLI.parquet,160,,,low_rows(160)
JFLX.parquet,5,,,low_rows(5)
JHAI.parquet,32,,,low_rows(32)
JHCP.parquet,198,,,low_rows(198)
JHCR.parquet,198,,,low_rows(198)
JHLN.parquet,32,,,low_rows(32)
JIII.parquet,203,,,low_rows(203)
JLHL.parquet,70,,,low_rows(70)
JMTG.parquet,68,,,low_rows(68)
JOBX.parquet,19,,,low_rows(19)
JOYT.parquet,33,,,low_rows(33)
JPHY.parquet,71,,,low_rows(71)
JPX.parquet,50,,,low_rows(50)
JPY.parquet,125,,,low_rows(125)
JUNS.parquet,209,,,low_rows(209)
JUSA.parquet,141,,,low_rows(141)
JXX.parquet,167,,,low_rows(167)
KAT.parquet,29,,,low_rows(29)
KBAB.parquet,143,,,low_rows(143)
KCHV.parquet,54,,,low_rows(54)
KCHVR.parquet,1,,,low_rows(1)
KCHVU.parquet,90,,,low_rows(90)
KDEC.parquet,210,,,low_rows(210)
KDEF.parquet,166,,,low_rows(166)
KDK.parquet,7,,,low_rows(7)
KFEB.parquet,169,,,low_rows(169)
KFII.parquet,142,,,low_rows(142)
KFIIR.parquet,1,,,low_rows(1)
KFIIU.parquet,167,,,low_rows(167)
KGLD.parquet,62,,,low_rows(62)
KIDZ.parquet,125,,,low_rows(125)
KKRT.parquet,88,,,low_rows(88)
KLAR.parquet,17,,,low_rows(17)
KLC.parquet,247,,,low_rows(247)
KLMN.parquet,201,,,low_rows(201)
KMAR.parquet,150,,,low_rows(150)
KMAY.parquet,108,,,low_rows(108)
KMID.parquet,242,,,low_rows(242)
KMLI.parquet,79,,,low_rows(79)
KMRK.parquet,57,,,low_rows(57)
KMTS.parquet,147,,,low_rows(147)
KNOV.parquet,230,,,low_rows(230)
KNRG.parquet,90,,,low_rows(90)
KNRX.parquet,5,,,low_rows(5)
KOID.parquet,84,,,low_rows(84)
KOYN.parquet,11,,,low_rows(11)
KOYNU.parquet,27,,,low_rows(27)
KPDD.parquet,143,,,low_rows(143)
KRMN.parquet,161,,,low_rows(161)
KSLV.parquet,4,,,low_rows(4)
KTUP.parquet,14,,,low_rows(14)
KWM.parquet,99,,,low_rows(99)
KYIV.parquet,209,,,low_rows(209)
LABX.parquet,38,,,low_rows(38)
LATAU.parquet,11,,,low_rows(11)
LAWR.parquet,56,,,low_rows(56)
LAYS.parquet,147,,,low_rows(147)
LBGJ.parquet,237,,,low_rows(237)
LBRX.parquet,17,,,low_rows(17)
LCAP.parquet,133,,,low_rows(133)
LCCC.parquet,73,,,low_rows(73)
LCCCR.parquet,1,,,low_rows(1)
LCCCU.parquet,109,,,low_rows(109)
LCDL.parquet,115,,,low_rows(115)
LCOW.parquet,103,,,low_rows(103)
LDDR.parquet,182,,,low_rows(182)
LDRC.parquet,221,,,low_rows(221)
LDRH.parquet,222,,,low_rows(222)
LDRI.parquet,225,,,low_rows(225)
LDRT.parquet,221,,,low_rows(221)
LDRX.parquet,106,,,low_rows(106)
LENS.parquet,172,,,low_rows(172)
LFBE.parquet,174,,,low_rows(174)
LFDR.parquet,113,,,low_rows(113)
LFGY.parquet,182,,,low_rows(182)
LFSC.parquet,231,,,low_rows(231)
LGDX.parquet,151,,,low_rows(151)
LGN.parquet,16,,,low_rows(16)
LGPS.parquet,134,,,low_rows(134)
LHAI.parquet,51,,,low_rows(51)
LIAE.parquet,113,,,low_rows(113)
LIAM.parquet,113,,,low_rows(113)
LIAU.parquet,113,,,low_rows(113)
LIBD.parquet,187,,,low_rows(187)
LIFT.parquet,8,,,low_rows(8)
LIMN.parquet,107,,,low_rows(107)
LITL.parquet,110,,,low_rows(110)
LLYZ.parquet,23,,,low_rows(23)
LMTL.parquet,42,,,low_rows(42)
LMTS.parquet,40,,,low_rows(40)
LMUB.parquet,137,,,low_rows(137)
LNKS.parquet,207,,,low_rows(207)
LODI.parquet,208,,,low_rows(208)
LOGO.parquet,90,,,low_rows(90)
LOKV.parquet,116,,,low_rows(116)
LOKVU.parquet,151,,,low_rows(151)
LOTI.parquet,3,,,low_rows(3)
LPBB.parquet,211,,,low_rows(211)
LPBBU.parquet,248,,,low_rows(248)
LPRE.parquet,126,,,low_rows(126)
LQPE.parquet,173,,,low_rows(173)
LQTI.parquet,155,,,low_rows(155)
LRCU.parquet,33,,,low_rows(33)
LSE.parquet,197,,,low_rows(197)
LST.parquet,178,,,low_rows(178)
LSVD.parquet,113,,,low_rows(113)
LTTI.parquet,154,,,low_rows(154)
LUD.parquet,152,,,low_rows(152)
LVDS.parquet,59,,,low_rows(59)
LWAC.parquet,35,,,low_rows(35)
LWACU.parquet,71,,,low_rows(71)
LZMH.parquet,152,,,low_rows(152)
MAGH.parquet,38,,,low_rows(38)
MAGY.parquet,114,,,low_rows(114)
MAMK.parquet,64,,,low_rows(64)
MANI.parquet,12,,,low_rows(12)
MARO.parquet,204,,,low_rows(204)
MARU.parquet,150,,,low_rows(150)
MASK.parquet,185,,,low_rows(185)
MAVF.parquet,149,,,low_rows(149)
MAYA.parquet,146,,,low_rows(146)
MAYAR.parquet,1,,,low_rows(1)
MAYAU.parquet,160,,,low_rows(160)
MAYM.parquet,96,,,low_rows(96)
MAZE.parquet,170,,,low_rows(170)
MB.parquet,122,,,low_rows(122)
MBINL.parquet,218,,,low_rows(218)
MBNKO.parquet,94,,,low_rows(94)
MBSX.parquet,108,,,low_rows(108)
MBVIU.parquet,27,,,low_rows(27)
MCDS.parquet,198,,,low_rows(198)
MCGA.parquet,50,,,low_rows(50)
MCGAU.parquet,70,,,low_rows(70)
MCHPP.parquet,136,,,low_rows(136)
MCOW.parquet,26,,,low_rows(26)
MCRP.parquet,146,,,low_rows(146)
MCTR.parquet,177,,,low_rows(177)
MDAA.parquet,1,,,low_rows(1)
MDBX.parquet,33,,,low_rows(33)
MDCX.parquet,221,,,low_rows(221)
MENS.parquet,76,,,low_rows(76)
METCI.parquet,45,,,low_rows(45)
METCZ.parquet,209,,,low_rows(209)
METL.parquet,18,,,low_rows(18)
METW.parquet,75,,,low_rows(75)
MFICL.parquet,1,,,low_rows(1)
MFSB.parquet,207,,,low_rows(207)
MFSG.parquet,207,,,low_rows(207)
MFSI.parquet,207,,,low_rows(207)
MFSM.parquet,207,,,low_rows(207)
MFSV.parquet,207,,,low_rows(207)
MGN.parquet,6,,,low_rows(6)
MGRT.parquet,57,,,low_rows(57)
MH.parquet,51,,,low_rows(51)
MHY.parquet,12,,,low_rows(12)
MIAX.parquet,36,,,low_rows(36)
MILK.parquet,198,,,low_rows(198)
MIMI.parquet,184,,,low_rows(184)
MJSC.parquet,13,,,low_rows(13)
MKLY.parquet,1,,,low_rows(1)
MKLYR.parquet,1,,,low_rows(1)
MKLYU.parquet,38,,,low_rows(38)
MKTN.parquet,7,,,low_rows(7)
MLAC.parquet,169,,,low_rows(169)
MLACR.parquet,1,,,low_rows(1)
MLACU.parquet,201,,,low_rows(201)
MMAX.parquet,129,,,low_rows(129)
MMID.parquet,8,,,low_rows(8)
MMSD.parquet,105,,,low_rows(105)
MNRS.parquet,171,,,low_rows(171)
MNTN.parquet,93,,,low_rows(93)
MPLY.parquet,97,,,low_rows(97)
MRAL.parquet,146,,,low_rows(146)
MRP.parquet,167,,,low_rows(167)
MSDD.parquet,81,,,low_rows(81)
MSFW.parquet,51,,,low_rows(51)
MSGY.parquet,63,,,low_rows(63)
MSIF.parquet,172,,,low_rows(172)
MSII.parquet,85,,,low_rows(85)
MSLC.parquet,203,,,low_rows(203)
MSOO.parquet,37,,,low_rows(37)
MSPRZ.parquet,1,,,low_rows(1)
MSSM.parquet,203,,,low_rows(203)
MST.parquet,107,,,low_rows(107)
MSTP.parquet,81,,,low_rows(81)
MSTW.parquet,51,,,low_rows(51)
MTRA.parquet,80,,,low_rows(80)
MTSR.parquet,170,,,low_rows(170)
MTYY.parquet,9,,,low_rows(9)
MUD.parquet,240,,,low_rows(240)
MULL.parquet,223,,,low_rows(223)
MULT.parquet,26,,,low_rows(26)
MUNA.parquet,33,,,low_rows(33)
MUNB.parquet,33,,,low_rows(33)
MUNC.parquet,33,,,low_rows(33)
MUND.parquet,33,,,low_rows(33)
MUNY.parquet,93,,,low_rows(93)
MUSE.parquet,218,,,low_rows(218)
MUU.parquet,246,,,low_rows(246)
MVLL.parquet,146,,,low_rows(146)
MWYN.parquet,142,,,low_rows(142)
MYCO.parquet,13,,,low_rows(13)
MYMK.parquet,13,,,low_rows(13)
NAMI.parquet,206,,,low_rows(206)
NAMM.parquet,83,,,low_rows(83)
NATO.parquet,245,,,low_rows(245)
NBGX.parquet,197,,,low_rows(197)
NBIS.parquet,239,,,low_rows(239)
NBTR.parquet,198,,,low_rows(198)
NCIQ.parquet,160,,,low_rows(160)
NCLO.parquet,203,,,low_rows(203)
NCT.parquet,131,,,low_rows(131)
NDAA.parquet,240,,,low_rows(240)
NDEC.parquet,210,,,low_rows(210)
NEBX.parquet,19,,,low_rows(19)
NEMD.parquet,38,,,low_rows(38)
NEWTP.parquet,35,,,low_rows(35)
NFEB.parquet,169,,,low_rows(169)
NFLW.parquet,75,,,low_rows(75)
NHIC.parquet,117,,,low_rows(117)
NHICU.parquet,151,,,low_rows(151)
NHYB.parquet,8,,,low_rows(8)
NHYM.parquet,176,,,low_rows(176)
NIHI.parquet,13,,,low_rows(13)
NIQ.parquet,52,,,low_rows(52)
NMAR.parquet,150,,,low_rows(150)
NMAX.parquet,130,,,low_rows(130)
NMAY.parquet,108,,,low_rows(108)
NMP.parquet,23,,,low_rows(23)
NMPAR.parquet,1,,,low_rows(1)
NMPAU.parquet,67,,,low_rows(67)
NNNN.parquet,158,,,low_rows(158)
NNOV.parquet,230,,,low_rows(230)
NODE.parquet,99,,,low_rows(99)
NOEM.parquet,180,,,low_rows(180)
NOEMR.parquet,1,,,low_rows(1)
NOEMU.parquet,215,,,low_rows(215)
NOVM.parquet,219,,,low_rows(219)
NOVP.parquet,110,,,low_rows(110)
NOWL.parquet,58,,,low_rows(58)
NP.parquet,3,,,low_rows(3)
NPAC.parquet,77,,,low_rows(77)
NPACU.parquet,113,,,low_rows(113)
NPB.parquet,159,,,low_rows(159)
NRGD.parquet,157,,,low_rows(157)
NRGU.parquet,157,,,low_rows(157)
NSCI.parquet,8,,,low_rows(8)
NSRX.parquet,37,,,low_rows(37)
NTCL.parquet,201,,,low_rows(201)
NTEST.parquet,1,,,low_rows(1)
NTHI.parquet,133,,,low_rows(133)
NTSK.parquet,12,,,low_rows(12)
NTWO.parquet,192,,,low_rows(192)
NTWOU.parquet,229,,,low_rows(229)
NUMI.parquet,176,,,low_rows(176)
NUTR.parquet,35,,,low_rows(35)
NVBU.parquet,230,,,low_rows(230)
NVDB.parquet,18,,,low_rows(18)
NVDG.parquet,201,,,low_rows(201)
NVDO.parquet,37,,,low_rows(37)
NVDW.parquet,158,,,low_rows(158)
NVII.parquet,90,,,low_rows(90)
NVOH.parquet,186,,,low_rows(186)
NVOX.parquet,209,,,low_rows(209)
NVTX.parquet,19,,,low_rows(19)
NVYY.parquet,100,,,low_rows(100)
NXUS.parquet,8,,,low_rows(8)
OACC.parquet,200,,,low_rows(200)
OACCU.parquet,236,,,low_rows(236)
OAKM.parquet,209,,,low_rows(209)
OBA.parquet,35,,,low_rows(35)
OBAWU.parquet,71,,,low_rows(71)
OCTM.parquet,239,,,low_rows(239)
ODHY.parquet,68,,,low_rows(68)
ODVWZ.parquet,1,,,low_rows(1)
OFAL.parquet,94,,,low_rows(94)
OFSSO.parquet,51,,,low_rows(51)
OKLL.parquet,72,,,low_rows(72)
OMAH.parquet,148,,,low_rows(148)
OMDA.parquet,83,,,low_rows(83)
OMSE.parquet,100,,,low_rows(100)
ONCH.parquet,16,,,low_rows(16)
ONCHU.parquet,66,,,low_rows(66)
ONEG.parquet,190,,,low_rows(190)
ONEZ.parquet,170,,,low_rows(170)
OOQB.parquet,158,,,low_rows(158)
OOSB.parquet,158,,,low_rows(158)
ORCX.parquet,165,,,low_rows(165)
ORIQ.parquet,19,,,low_rows(19)
ORIQU.parquet,66,,,low_rows(66)
ORIS.parquet,240,,,low_rows(240)
ORR.parquet,181,,,low_rows(181)
OSCX.parquet,7,,,low_rows(7)
OTF.parquet,79,,,low_rows(79)
OTGAU.parquet,16,,,low_rows(16)
OTGL.parquet,58,,,low_rows(58)
OUSTZ.parquet,1,,,low_rows(1)
OWNB.parquet,144,,,low_rows(144)
OXLCG.parquet,151,,,low_rows(151)
OXSQH.parquet,38,,,low_rows(38)
OYSE.parquet,60,,,low_rows(60)
OYSER.parquet,60,,,low_rows(60)
OYSEU.parquet,93,,,low_rows(93)
PACH.parquet,35,,,low_rows(35)
PACHU.parquet,75,,,low_rows(75)
PAII.parquet,17,,,low_rows(17)
PALD.parquet,132,,,low_rows(132)
PALU.parquet,132,,,low_rows(132)
PANG.parquet,136,,,low_rows(136)
PBNV.parquet,113,,,low_rows(113)
PBQQ.parquet,185,,,low_rows(185)
PCAP.parquet,60,,,low_rows(60)
PCAPU.parquet,94,,,low_rows(94)
PCFI.parquet,131,,,low_rows(131)
PCHI.parquet,134,,,low_rows(134)
PCI.parquet,45,,,low_rows(45)
PCL.parquet,43,,,low_rows(43)
PCLA.parquet,180,,,low_rows(180)
PCLG.parquet,4,,,low_rows(4)
PCLO.parquet,209,,,low_rows(209)
PCMM.parquet,209,,,low_rows(209)
PCR.parquet,9,,,low_rows(9)
PCS.parquet,45,,,low_rows(45)
PDDL.parquet,58,,,low_rows(58)
PDPA.parquet,200,,,low_rows(200)
PELI.parquet,79,,,low_rows(79)
PELIR.parquet,1,,,low_rows(1)
PELIU.parquet,92,,,low_rows(92)
PEPS.parquet,115,,,low_rows(115)
PEVC.parquet,168,,,low_rows(168)
PFAI.parquet,116,,,low_rows(116)
PFSA.parquet,60,,,low_rows(60)
PGAC.parquet,173,,,low_rows(173)
PGACR.parquet,1,,,low_rows(1)
PGACU.parquet,206,,,low_rows(206)
PHH.parquet,192,,,low_rows(192)
